"Erstellungsdatum","Änderungsdatum",WeinbücherKennummer,Nachname,Vorname,"Titel",Verlag,Erscheinungsjahr,Anmerkungen
"28.06.2009 17:02","28.06.2009 17:02",8,Anderson,"Burton","Atlas der italienischen Weine",Hallwag,1992,
"25.10.2016 10:30","19.12.2018 14:58",,Dahlen,"Heinrich Wilhelm","Deutsche Weine und Weinbaustätten ISBN978-3-8262-3055-4","reprint verlag",2013/1895,"Reprint Ausgabe"
"12.08.2016 21:20","12.08.2016 21:23",,"Droste/Heidelbach/Klink","Wiglaf/Nikolaus ...",Wein,"Dumont",2009,
"28.06.2009 17:02","28.06.2009 17:02",4,"Gault Millau",,"Wein Guide Deutschland 1997",Heyne,1997,
"21.08.2019 10:50","21.08.2019 10:52",,"Hutter","Claus-Peter","Heimat des Weines-Weinberge, Reben und Regionen",Kosmos,2016,
"28.06.2009 17:02","28.06.2009 17:02",1,Johnson,Hugh,"Der kleine Johnson 1992",Hallwag,1992,
"28.06.2009 17:02","28.06.2009 17:02",16,Johnson,Hugh,"Der kleine Johnson für Weinkenner",Hallwag,1999,
"28.06.2009 17:02","28.06.2009 17:02",2,Johnson,Hugh,"Der große Johnson",Hallwag,1992,
"28.06.2009 17:02","28.06.2009 17:02",7,Johnson/Dujiker,"Hugh/Hubrecht","Atlas der französischen Weine",Hallwag,1988,
"28.06.2009 17:02","28.06.2009 17:02",11,"Kittel","J. B.","Das Buch vom Frankenwein","Stürtz",1925,"2.Aufl."
"19.12.2017 16:40","28.08.2018 19:15",,Korger,Andreas,"Würzburger Weinlotse 2018","Angesagt Verlag",2018,
"28.06.2009 17:02","28.06.2009 17:02",9,Kraemer,Ado,"Das Bocksbeutel Buch","Stürtz",1964,"Geschenk an Opa Walk"
"28.06.2009 17:02","28.06.2009 17:02",10,Küpfer,"Anton","Rotwein ist für alte Knaben",Sinwel,1993,"Neuauflage; Trinksprüche und Verse rund um den Wein"
"28.06.2009 17:02","28.06.2009 17:02",12,Meier,"Ernst","Westentaschen Weinkenner 94/95",Barrique,1994,
"19.12.2017 16:38","19.12.2017 16:40",,Meyhöfer/Frahm,Dirk/Klaus,"Die Architektur des Weines","avedition",2015,
"28.06.2009 17:02","28.06.2009 17:02",13,"Mölstad",Mikael,"Die Welt des Weins BD. 5 Italien","Fälths",1994,
"28.06.2009 17:02","28.06.2009 17:02",14,"Mölstad",Mikael,"Die Welt des Weins Bd. 6","Fälths",1994,"Spanien, Portugal, Schweiz, Österreich"
"28.06.2009 17:02","28.06.2009 17:02",5,"Neumann - Adrian","Edda und Michael","Deutsche Weinreise","Prestel",1992,
"28.06.2009 17:02","28.06.2009 17:02",3,Priewe,Jens,"Italiens große Weine","Busse Seewald",1987,
"28.06.2009 17:02","28.06.2009 17:02",6,"Rischert","Christian","Die Weinmacher","Zabert Sandmann",1989,"beachte Videos"
"28.06.2009 17:02","28.06.2009 17:02",15,Schaer,Erica,"Kleine Bettlektüre für kultivierte Weinkenner",Scherz,,
"28.06.2009 17:02","28.06.2009 17:02",18,Schaer,Erica,"Kleine Bettlektüre für kultivierte Weinkenner",Scherz,,
"12.08.2016 21:08","12.08.2016 21:10",,Siebeck,Wolfram,"Über Wein","Allpart media",2012,
"19.12.2017 16:37","19.12.2017 16:38",,Siebeck,Wolfram,"Über Wein","Allpart Media",2012,
"13.04.2011 08:32","13.04.2011 08:33",,Simon,Joanna,"Welcher Wein zu welchem Essen",Kaleidoskop,2008,"9,95 Euro"
"28.06.2009 17:02","28.06.2009 17:02",17,Wrobel,Andrea,"Schlemmerreise durch Franken","Altmühltal Verlag",1997,"Von Herrn Östreicher sen. Geschenkt"